Year,Month,Day,Hour,Warehouse,Traffic_stream,total_count,total_sum
2023,3,4,15,6455,True,10,10527
2023,3,4,11,6455,False,2,3120
2023,3,4,9,6455,True,4,4989
2023,3,4,10,6455,True,9,5249
2023,3,4,14,6455,True,12,14495
2023,3,4,11,6455,True,5,3537
2023,3,4,10,6455,False,2,410
2023,3,4,13,6455,True,11,8391
2023,3,4,16,6455,True,6,5950
2023,3,4,17,6455,True,8,3242
2023,3,4,15,6455,False,1,450
2023,3,5,9,6455,True,6,6811
2023,3,5,10,6455,False,3,23400
2023,3,5,10,6455,True,4,2081
2023,3,5,11,6455,True,8,5030
2023,3,5,12,6455,True,9,7039
2023,3,5,13,6455,False,1,4000
2023,3,5,13,6455,True,10,6281
2023,3,5,14,6455,False,18,10120
2023,3,5,14,6455,True,10,8777
2023,3,5,15,6455,True,9,7813
2023,3,5,16,6455,True,10,8667
2023,3,5,17,6455,True,6,6165
2023,3,6,11,6455,False,27,17765
2023,3,6,15,6455,True,8,20121
2023,3,6,10,6455,True,2,1425
2023,3,6,20,6455,True,2,2140
2023,3,6,16,6455,True,12,12083
2023,3,6,19,6455,True,4,2624
2023,3,6,17,6455,True,8,6258
2023,3,6,15,6455,False,1,3180
2023,3,6,9,6455,True,1,1700
2023,3,6,8,6455,True,3,13019
2023,3,6,17,6455,False,1,900
2023,3,6,18,6455,True,8,7017
2023,3,6,12,6455,True,1,1000
2023,3,6,14,6455,False,15,4888
2023,3,6,11,6455,True,9,4170
2023,3,6,14,6455,True,5,2133
2023,3,6,13,6455,False,2,1698
2023,3,6,13,6455,True,5,1454
2023,3,7,18,6455,True,17,9695
2023,3,7,9,6455,False,2,1775
2023,3,7,13,6455,True,13,9886
2023,3,7,19,6455,True,11,12071
2023,3,7,14,6455,True,5,1496
2023,3,7,10,6455,False,2,1310
2023,3,7,20,6455,True,4,7990
2023,3,7,12,6455,True,11,7650
2023,3,7,11,6455,True,6,5502
2023,3,7,10,6455,True,3,2385
2023,3,7,15,6455,True,8,21249
2023,3,7,9,6455,True,5,1974
2023,3,7,17,6455,True,14,13127
2023,3,7,13,6455,False,2,897
2023,3,7,8,6455,True,6,4478
2023,3,7,16,6455,True,9,5113
2023,3,8,12,6455,False,1,750
2023,3,8,16,6455,True,10,6769
2023,3,8,11,6455,True,7,4161
2023,3,8,11,6455,False,5,1725
2023,3,8,17,6455,True,10,8402
2023,3,8,14,6455,True,7,3719
2023,3,8,15,6455,True,2,435
2023,3,8,10,6455,True,8,7612
2023,3,8,13,6455,True,9,6001
2023,3,8,18,6455,True,15,23013
2023,3,8,9,6455,False,2,6000
2023,3,8,8,6455,True,2,2011
2023,3,8,12,6455,True,9,7399
2023,3,8,10,6455,False,11,3919
2023,3,8,9,6455,True,6,4619
2023,3,8,20,6455,True,6,6256
2023,3,8,16,6455,False,22,5709
2023,3,8,19,6455,True,2,2610
2023,3,8,8,6455,False,1,1021
2023,3,9,19,6455,True,5,5788
2023,3,9,14,6455,True,9,8858
2023,3,9,9,6455,True,6,10155
2023,3,9,18,6455,True,3,924
2023,3,9,15,6455,False,1,500
2023,3,9,17,6455,True,14,7606
2023,3,9,16,6455,True,11,8554
2023,3,9,12,6455,False,1,580
2023,3,9,10,6455,True,4,3623
2023,3,9,11,6455,True,6,3805
2023,3,9,15,6455,True,13,12463
2023,3,9,13,6455,False,1,380
2023,3,9,12,6455,True,10,7925
2023,3,9,20,6455,True,2,3700
2023,3,9,10,6455,False,3,2456
2023,3,9,13,6455,True,4,7285
2023,3,10,9,6455,True,3,3982
2023,3,10,12,6455,True,14,11139
2023,3,10,19,6455,False,1,6500
2023,3,10,11,6455,False,9,5220
2023,3,10,10,6455,True,3,2550
2023,3,10,18,6455,False,5,3609
2023,3,10,20,6455,True,2,2570
2023,3,10,11,6455,True,18,32214
2023,3,10,8,6455,True,3,1105
2023,3,10,19,6455,True,6,5633
2023,3,10,13,6455,True,6,11915
2023,3,10,14,6455,True,7,7892
2023,3,10,18,6455,True,5,2979
2023,3,10,15,6455,True,8,8284
2023,3,10,17,6455,True,10,11752
2023,3,10,16,6455,True,7,10121
2023,3,10,14,6455,False,3,12600
2021,10,8,11,6455,True,8,6437
2021,11,16,14,6455,False,2,2345
2021,12,19,17,6455,False,52,25457
2021,11,30,9,6455,True,5,2706
2021,12,24,17,6455,True,19,13700
2021,12,10,20,6455,True,20,27843
2021,12,10,12,6455,True,14,9581
2021,12,18,9,6455,True,4,2144
2022,1,12,12,6455,True,8,7655
2021,12,18,17,6455,True,21,19419
2022,1,8,15,6455,True,9,5572
2021,12,10,11,6455,True,13,10783
2022,1,30,17,6455,True,2,637
2021,11,22,20,6455,True,2,1178
2022,2,6,10,6455,True,3,1047
2021,10,9,11,6455,True,16,10522
2021,12,6,12,6455,True,8,4056
2022,1,18,12,6455,True,20,10831
2021,10,24,15,6455,False,8,19335
