Year,Month,Day,Hour,Warehouse,Traffic_stream,total_count,total_sum
2023,3,4,16,109,True,3,2081
2023,3,4,13,109,False,11,7170
2023,3,4,10,109,True,10,15363
2023,3,4,15,109,True,10,5861
2023,3,4,16,109,False,6,33410
2023,3,4,18,109,True,1,440
2023,3,4,17,109,True,9,5982
2023,3,4,9,109,True,6,9029
2023,3,4,14,109,True,8,9939
2023,3,4,13,109,True,2,3299
2023,3,4,12,109,True,16,13479
2023,3,4,10,109,False,9,4793
2023,3,5,9,109,False,4,13073
2023,3,5,9,109,True,5,3330
2023,3,5,10,109,True,3,4732
2023,3,5,11,109,False,1,750
2023,3,5,11,109,True,10,14167
2023,3,5,12,109,True,7,5193
2023,3,5,13,109,True,9,8256
2023,3,5,14,109,True,7,7116
2023,3,5,15,109,True,7,3282
2023,3,5,16,109,False,16,31534
2023,3,5,16,109,True,7,3605
2023,3,5,17,109,True,3,1014
2023,3,5,18,109,True,2,3210
2023,3,6,18,109,False,3,775
2023,3,6,17,109,True,7,5195
2023,3,6,12,109,True,3,2467
2023,3,6,19,109,False,5,2844
2023,3,6,16,109,True,6,2804
2023,3,6,11,109,True,4,2749
2023,3,6,12,109,False,2,280
2023,3,6,20,109,False,2,7862
2023,3,6,11,109,False,4,4373
2023,3,6,13,109,True,8,5289
2023,3,6,10,109,False,3,5499
2023,3,6,14,109,True,5,3059
2023,3,6,19,109,True,5,5938
2023,3,6,15,109,True,9,13653
2023,3,6,20,109,True,1,250
2023,3,6,14,109,False,1,370
2023,3,6,17,109,False,17,15505
2023,3,6,8,109,True,5,3725
2023,3,6,16,109,False,12,11475
2023,3,6,9,109,True,4,2080
2023,3,6,18,109,True,6,10111
2023,3,7,9,109,True,6,5834
2023,3,7,15,109,True,11,35096
2023,3,7,19,109,True,8,6520
2023,3,7,14,109,True,9,7196
2023,3,7,8,109,True,3,2698
2023,3,7,15,109,False,2,2213
2023,3,7,14,109,False,33,15445
2023,3,7,16,109,True,6,4954
2023,3,7,17,109,True,14,7774
2023,3,7,13,109,False,9,12398
2023,3,7,20,109,True,12,9604
2023,3,7,18,109,False,3,7014
2023,3,7,18,109,True,15,18011
2023,3,7,13,109,True,9,7754
2023,3,7,10,109,True,4,3459
2023,3,7,11,109,False,3,4510
2023,3,7,11,109,True,11,7799
2023,3,7,12,109,True,5,5110
2023,3,7,10,109,False,1,3800
2023,3,7,19,109,False,1,1800
2023,3,8,13,109,False,6,14310
2023,3,8,17,109,True,12,16498
2023,3,8,12,109,True,11,5863
2023,3,8,8,109,True,6,3642
2023,3,8,11,109,True,17,19338
2023,3,8,9,109,False,59,44773
2023,3,8,18,109,True,10,7590
2023,3,8,10,109,True,5,6181
2023,3,8,17,109,False,6,20340
2023,3,8,8,109,False,1,390
2023,3,8,19,109,True,2,1949
2023,3,8,20,109,True,3,4833
2023,3,8,9,109,True,6,4160
2023,3,8,11,109,False,1,6000
2023,3,8,16,109,True,8,9355
2023,3,8,13,109,True,8,9838
2023,3,8,14,109,True,7,5889
2023,3,8,15,109,True,9,17381
2023,3,9,16,109,False,1,903
2023,3,9,9,109,True,2,3137
2023,3,9,10,109,True,7,6189
2023,3,9,20,109,True,6,20038
2023,3,9,15,109,True,4,2420
2023,3,9,11,109,True,3,699
2023,3,9,19,109,True,6,38209
2023,3,9,14,109,True,6,4163
2023,3,9,10,109,False,2,4740
2023,3,9,13,109,True,4,5307
2023,3,9,11,109,False,18,43248
2023,3,9,12,109,True,7,4241
2023,3,9,18,109,True,6,4191
2023,3,9,19,109,False,144,75300
2023,3,9,9,109,False,2,600
2023,3,9,13,109,False,3,8316
2023,3,9,15,109,False,1,2015
2023,3,9,16,109,True,11,8037
2023,3,9,17,109,True,5,5394
2023,3,9,8,109,True,7,4917
2023,3,10,19,109,False,25,12122
2023,3,10,12,109,True,4,5263
2023,3,10,17,109,True,6,2686
2023,3,10,13,109,True,8,3972
2023,3,10,18,109,True,3,1940
2023,3,10,8,109,True,4,999
2023,3,10,12,109,False,1,500
2023,3,10,14,109,True,6,8457
2023,3,10,16,109,True,8,4989
2023,3,10,15,109,True,11,25270
2023,3,10,11,109,False,9,7425
2023,3,10,10,109,True,2,1338
2023,3,10,17,109,False,1,17300
2023,3,10,9,109,True,6,12149
2023,3,10,16,109,False,3,12307
2023,3,10,19,109,True,9,22174
2023,3,10,10,109,False,18,19305
2023,3,10,11,109,True,9,5563
2023,3,11,9,109,True,4,1659
