klk_EN,year,month,day,Warehouse,hours,cargotype,traffic_stream
1,2020,7,11,109,08_09,0,0
10,2020,8,22,109,10_11,0,0
37,2020,9,12,109,10_11,0,1
6,2020,10,31,109,12_13,0,0
4,2020,2,20,109,11_12,0,0
11,2019,6,18,109,08_09,0,0
4,2019,3,24,109,13_14,0,1
7,2019,1,2,109,11_12,0,0
15,2019,1,2,109,14_15,0,0
19,2019,1,2,109,15_16,0,0
3,2019,1,2,109,09_10,0,0
17,2019,1,2,109,16_17,0,0
5,2019,1,2,109,12_13,0,0
1,2019,1,2,109,08_09,0,0
9,2019,1,2,109,17_18,0,0
7,2019,1,2,109,10_11,0,0
6,2019,1,2,109,13_14,0,0
5,2019,1,3,109,14_15,0,1
20,2020,2,27,109,16_17,0,0
1,2019,2,28,109,08_09,0,0
15,2019,1,3,109,14_15,0,0
5,2019,1,3,109,11_12,0,1
9,2020,4,6,109,09_10,0,1
1,2019,3,6,109,21_22,0,1
6,2019,1,3,109,11_12,0,0
1,2019,1,3,109,09_10,0,1
7,2019,1,3,109,16_17,0,1
2,2019,1,3,109,15_16,0,1
7,2019,1,3,109,09_10,0,0
32,2019,1,3,109,16_17,0,0
11,2019,1,3,109,15_16,0,0
79,2020,7,23,109,17_18,0,0
2,2019,1,3,109,10_11,0,1
16,2020,4,3,109,10_11,0,0
9,2019,1,3,109,10_11,0,0
1,2019,12,12,109,08_09,0,0
9,2019,1,3,109,13_14,0,1
12,2019,1,3,109,13_14,0,0
5,2019,5,5,109,14_15,0,1
3,2019,1,3,109,17_18,0,1
27,2020,4,13,109,14_15,0,0
5,2019,1,3,109,17_18,0,0
1,2019,1,3,109,08_09,0,0
10,2019,1,3,109,12_13,0,0
5,2019,1,3,109,12_13,0,1
11,2019,5,31,109,14_15,0,1
11,2019,1,4,109,17_18,0,0
10,2019,1,4,109,17_18,0,1
19,2019,1,4,109,15_16,0,0
4,2019,1,4,109,08_09,0,0
20,2019,1,4,109,15_16,0,1
8,2019,8,11,109,13_14,0,1
7,2019,1,4,109,11_12,0,0
38,2020,2,4,109,16_17,0,0
5,2019,1,4,109,10_11,0,0
8,2019,1,4,109,14_15,0,0
8,2019,1,4,109,11_12,0,1
5,2019,1,4,109,10_11,0,1
14,2019,1,4,109,14_15,0,1
9,2019,12,7,109,13_14,0,0
11,2019,1,4,109,13_14,0,0
1,2022,8,28,109,15_16,1,1
20,2022,8,28,109,13_14,0,1
1,2022,8,28,109,18_19,0,1
21,2022,8,28,109,14_15,0,1
29,2022,8,28,109,17_18,0,1
13,2022,8,28,109,14_15,0,0
9,2022,8,28,109,10_11,0,0
13,2022,8,28,109,16_17,0,0
11,2022,8,28,109,13_14,0,0
15,2022,8,28,109,11_12,0,0
22,2022,8,28,109,16_17,0,1
15,2022,8,28,109,17_18,0,0
21,2022,8,28,109,09_10,0,1
1,2022,8,28,109,17_18,1,1
1,2022,8,28,109,14_15,1,1
12,2022,8,28,109,12_13,0,0
8,2022,8,28,109,15_16,0,0
36,2022,8,28,109,12_13,0,1
40,2022,8,28,109,11_12,0,1
28,2022,8,28,109,15_16,0,1
22,2022,8,28,109,09_10,0,0
8,2019,1,8,109,11_12,0,0
23,2022,8,8,109,11_12,0,0
37,2022,8,8,109,09_10,0,1
18,2022,8,8,109,20_21,0,1
48,2022,8,8,109,17_18,0,0
16,2022,8,8,109,10_11,0,0
35,2022,8,8,109,11_12,0,1
23,2022,8,8,109,18_19,0,0
22,2022,8,8,109,16_17,0,1
35,2022,8,8,109,10_11,0,1
32,2022,8,8,109,08_09,0,1
19,2022,8,8,109,17_18,0,1
2,2022,8,8,109,14_15,1,1
34,2022,8,8,109,20_21,0,0
48,2022,8,8,109,13_14,0,0
23,2022,8,8,109,19_20,0,1
8,2022,8,8,109,09_10,0,0
30,2022,8,8,109,13_14,0,1
61,2022,8,8,109,19_20,0,0
29,2022,8,8,109,18_19,0,1
51,2022,8,8,109,16_17,0,0
1,2022,8,8,109,17_18,1,1
32,2022,8,8,109,14_15,0,0
26,2022,8,8,109,14_15,0,1
8,2022,8,8,109,08_09,0,0
41,2022,8,8,109,12_13,0,1
94,2022,8,8,109,15_16,0,0
22,2022,8,8,109,12_13,0,0
27,2022,8,8,109,15_16,0,1
17,2022,8,9,109,19_20,0,0
38,2022,8,9,109,17_18,0,0
1,2022,8,9,109,17_18,1,0
36,2022,8,9,109,16_17,0,1
10,2022,8,9,109,08_09,0,0
37,2022,8,9,109,17_18,0,1
36,2022,8,9,109,13_14,0,1
12,2022,8,9,109,09_10,0,0
37,2022,8,9,109,20_21,0,0
1,2022,8,9,109,18_19,1,1
17,2022,8,9,109,10_11,0,0
56,2022,8,9,109,09_10,0,1
47,2022,8,9,109,15_16,0,1
57,2022,8,9,109,15_16,0,0
34,2022,8,9,109,11_12,0,1
20,2022,8,9,109,14_15,0,1
26,2022,8,9,109,12_13,0,0
42,2022,8,9,109,12_13,0,1
37,2022,8,9,109,10_11,0,1
28,2022,8,9,109,19_20,0,1
61,2022,8,9,109,16_17,0,0
22,2022,8,9,109,13_14,0,0
1,2022,8,9,109,12_13,1,0
43,2022,8,9,109,14_15,0,0
17,2022,8,9,109,20_21,0,1
1,2022,8,9,109,16_17,1,1
18,2022,8,9,109,08_09,0,1
76,2022,8,9,109,18_19,0,0
73,2022,8,9,109,18_19,0,1
18,2022,8,9,109,11_12,0,0
24,2022,8,10,109,09_10,0,0
13,2022,8,10,109,10_11,0,0
