klk_EN,year,month,day,Warehouse,hours,cargotype,traffic_stream
8,2022,7,22,6455,20_21,0,0
42,2022,7,22,6455,15_16,0,1
18,2022,7,22,6455,16_17,0,0
1,2022,7,22,6455,17_18,1,1
48,2022,7,22,6455,15_16,0,0
21,2022,7,22,6455,13_14,0,1
24,2022,7,22,6455,09_10,0,1
19,2022,7,22,6455,08_09,0,1
31,2022,7,22,6455,09_10,0,0
3,2022,7,22,6455,10_11,0,0
28,2022,7,22,6455,18_19,0,1
26,2022,7,22,6455,19_20,0,0
80,2022,7,22,6455,17_18,0,0
5,2022,7,22,6455,08_09,0,0
50,2022,7,22,6455,18_19,0,0
19,2022,7,22,6455,11_12,0,1
26,2022,7,22,6455,12_13,0,0
25,2022,7,22,6455,12_13,0,1
18,2022,7,22,6455,19_20,0,1
13,2022,7,22,6455,13_14,0,0
32,2022,7,22,6455,17_18,0,1
7,2022,7,22,6455,07_08,0,1
36,2022,7,22,6455,14_15,0,1
6,2022,7,22,6455,11_12,0,0
37,2022,7,22,6455,14_15,0,0
19,2022,7,22,6455,20_21,0,1
34,2022,7,23,6455,14_15,0,1
36,2022,7,23,6455,12_13,0,1
8,2022,7,23,6455,15_16,0,0
45,2022,7,23,6455,11_12,0,1
20,2022,7,23,6455,13_14,0,1
29,2022,7,23,6455,10_11,0,1
13,2022,7,23,6455,11_12,0,0
20,2022,7,23,6455,12_13,0,0
2,2022,7,23,6455,16_17,0,0
1,2022,7,23,6455,18_19,0,0
12,2022,7,23,6455,10_11,0,0
6,2022,7,23,6455,09_10,0,0
10,2022,7,23,6455,14_15,0,0
27,2022,7,23,6455,17_18,0,1
24,2022,7,23,6455,13_14,0,0
19,2022,7,23,6455,15_16,0,1
20,2022,7,23,6455,09_10,0,1
1,2022,7,23,6455,18_19,0,1
1,2022,7,23,6455,13_14,1,0
17,2022,7,23,6455,16_17,0,1
60,2022,7,23,6455,17_18,0,0
6,2022,7,24,6455,17_18,0,0
4,2022,7,24,6455,11_12,0,0
13,2022,7,24,6455,13_14,0,0
2,2022,7,24,6455,13_14,1,0
29,2022,7,24,6455,15_16,0,1
12,2022,7,24,6455,12_13,0,0
2,2022,7,24,6455,09_10,1,1
11,2022,7,24,6455,10_11,0,0
19,2022,7,24,6455,17_18,0,1
31,2022,7,24,6455,12_13,0,1
28,2022,7,24,6455,16_17,0,1
9,2022,7,24,6455,15_16,0,0
27,2022,7,24,6455,10_11,0,1
25,2022,7,24,6455,11_12,0,1
9,2022,7,24,6455,14_15,0,0
33,2022,7,24,6455,13_14,0,1
43,2022,7,24,6455,14_15,0,1
11,2022,7,24,6455,09_10,0,0
3,2022,7,24,6455,16_17,0,0
1,2022,7,24,6455,15_16,1,0
20,2022,7,24,6455,09_10,0,1
12,2022,8,18,6455,13_14,0,0
2,2020,5,27,6455,21_22,0,1
31,2020,8,23,6455,14_15,0,1
22,2020,8,25,6455,19_20,0,1
133,2020,8,26,6455,19_20,0,0
13,2022,7,25,6455,14_15,0,0
10,2022,7,25,6455,09_10,0,1
42,2022,7,25,6455,18_19,0,1
33,2022,7,25,6455,19_20,0,1
19,2022,7,25,6455,11_12,0,1
10,2022,7,25,6455,11_12,0,0
85,2022,7,25,6455,17_18,0,0
5,2022,7,25,6455,07_08,0,0
5,2022,7,25,6455,07_08,0,1
25,2022,7,25,6455,13_14,0,1
23,2022,7,25,6455,15_16,0,0
32,2022,7,25,6455,16_17,0,1
2,2022,7,25,6455,09_10,0,0
25,2022,7,25,6455,13_14,0,0
2,2022,7,25,6455,08_09,0,0
40,2022,7,25,6455,19_20,0,0
19,2022,7,25,6455,12_13,0,1
22,2022,7,25,6455,10_11,0,1
10,2022,7,25,6455,20_21,0,0
141,2022,7,25,6455,16_17,0,0
14,2022,7,25,6455,15_16,0,1
