klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
345,2020,2,1,1545,17_18,0,0
35,2020,2,1,1545,10_11,0,1
58,2020,2,1,1545,14_15,0,1
53,2020,2,1,1545,17_18,0,1
1,2020,2,1,1545,15_16,1,0
1,2020,2,1,1545,16_17,1,1
1,2020,2,1,1545,15_16,1,1
104,2020,2,1,1545,16_17,0,0
13,2020,2,1,1545,09_10,0,0
13,2020,2,1,1545,12_13,0,0
82,2020,2,1,1545,16_17,0,1
28,2020,2,1,1545,09_10,0,1
55,2020,2,1,1545,12_13,0,1
23,2020,2,1,1545,13_14,0,0
50,2020,2,1,1545,13_14,0,1
58,2020,2,1,1545,15_16,0,0
80,2020,2,1,1545,15_16,0,1
3,2020,2,1,1545,18_19,0,1
45,2021,2,1,1545,17_18,0,1
26,2021,2,1,1545,08_09,0,1
159,2021,2,1,1545,17_18,0,0
36,2021,2,1,1545,08_09,0,0
1,2021,2,1,1545,20_21,1,1
1,2021,2,1,1545,07_08,0,1
103,2021,2,1,1545,11_12,0,1
23,2021,2,1,1545,11_12,0,0
41,2021,2,1,1545,14_15,0,1
1,2021,2,1,1545,12_13,1,1
46,2021,2,1,1545,15_16,0,1
186,2021,2,1,1545,14_15,0,0
54,2021,2,1,1545,15_16,0,0
63,2021,2,1,1545,18_19,0,1
38,2021,2,1,1545,20_21,0,1
40,2021,2,1,1545,12_13,0,1
1,2021,2,1,1545,21_22,0,1
14,2021,2,1,1545,23_24,0,0
246,2021,2,1,1545,18_19,0,0
158,2021,2,1,1545,20_21,0,0
22,2021,2,1,1545,12_13,0,0
6,2021,2,1,1545,21_22,0,0
52,2021,2,1,1545,09_10,0,1
53,2021,2,1,1545,16_17,0,1
14,2021,2,1,1545,09_10,0,0
107,2021,2,1,1545,16_17,0,0
50,2021,2,1,1545,19_20,0,1
419,2021,2,1,1545,19_20,0,0
103,2021,2,1,1545,10_11,0,1
41,2021,2,1,1545,13_14,0,1
25,2021,2,1,1545,10_11,0,0
49,2021,2,1,1545,13_14,0,0
54,2022,2,1,1545,20_21,0,1
85,2022,2,1,1545,12_13,0,1
70,2022,2,1,1545,18_19,0,1
93,2022,2,1,1545,20_21,0,0
1,2022,2,1,1545,23_24,0,0
306,2022,2,1,1545,18_19,0,0
16,2022,2,1,1545,12_13,0,0
123,2022,2,1,1545,15_16,0,1
36,2022,2,1,1545,15_16,0,0
66,2022,2,1,1545,11_12,0,1
48,2022,2,1,1545,10_11,0,1
53,2022,2,1,1545,11_12,0,0
27,2022,2,1,1545,10_11,0,0
1,2022,2,1,1545,15_16,1,1
1,2022,2,1,1545,14_15,1,1
18,2022,2,1,1545,08_09,0,1
82,2022,2,1,1545,17_18,0,1
22,2022,2,1,1545,08_09,0,0
293,2022,2,1,1545,17_18,0,0
68,2022,2,1,1545,13_14,0,1
72,2022,2,1,1545,19_20,0,1
47,2022,2,1,1545,13_14,0,0
2,2022,2,1,1545,16_17,1,0
360,2022,2,1,1545,19_20,0,0
49,2022,2,1,1545,14_15,0,1
1,2022,2,1,1545,08_09,1,1
1,2022,2,1,1545,12_13,1,1
83,2022,2,1,1545,14_15,0,0
35,2022,2,1,1545,09_10,0,1
74,2022,2,1,1545,16_17,0,1
54,2022,2,1,1545,16_17,0,0
25,2022,2,1,1545,09_10,0,0
24,2023,2,1,1545,09_10,0,0
60,2023,2,1,1545,12_13,0,1
31,2023,2,1,1545,20_21,0,1
1,2023,2,1,1545,07_08,0,1
134,2023,2,1,1545,17_18,0,0
121,2023,2,1,1545,13_14,0,0
1,2023,2,1,1545,22_23,0,0
2,2023,2,1,1545,23_24,0,0
156,2023,2,1,1545,16_17,0,0
34,2023,2,1,1545,14_15,0,0
56,2023,2,1,1545,15_16,0,1
497,2023,2,1,1545,19_20,0,0
95,2023,2,1,1545,18_19,0,1
62,2023,2,1,1545,13_14,0,1
66,2023,2,1,1545,09_10,0,1
218,2023,2,1,1545,18_19,0,0
72,2023,2,1,1545,17_18,0,1
68,2023,2,1,1545,14_15,0,1
102,2023,2,1,1545,12_13,0,0
