klk_EN,year,month,day,Warehouse,hours,cargotype,traffic_stream
39,2019,10,5,6614,10_11,0,0
17,2019,9,8,6614,13_14,0,1
16,2020,6,6,6614,09_10,0,1
13,2020,6,8,6614,08_09,0,1
46,2020,9,11,6614,12_13,0,0
55,2020,10,31,6614,17_18,0,0
70,2020,10,31,6614,15_16,0,0
1,2020,5,9,6614,09_10,1,1
1,2020,6,11,6614,23_24,1,0
1,2019,6,12,6614,17_18,1,0
7,2020,6,14,6614,18_19,0,1
71,2020,6,17,6614,12_13,0,0
2,2019,1,30,6614,14_15,0,0
1,2019,5,12,6614,11_12,1,1
22,2019,8,14,6614,21_22,0,0
16,2019,12,1,6614,15_16,0,0
83,2020,7,1,6614,16_17,0,0
1,2019,1,2,6614,08_09,0,0
1,2019,1,2,6614,16_17,0,0
4,2019,1,2,6614,12_13,0,0
1,2019,1,2,6614,17_18,0,0
7,2019,1,2,6614,19_20,0,0
3,2019,1,2,6614,13_14,0,0
1,2019,1,2,6614,18_19,0,0
3,2019,1,2,6614,10_11,0,0
18,2019,1,2,6614,14_15,0,0
1,2019,1,2,6614,18_19,0,1
1,2019,1,2,6614,11_12,0,0
2,2019,1,2,6614,14_15,1,0
5,2019,1,2,6614,15_16,0,0
1,2019,1,3,6614,09_10,0,1
16,2019,1,3,6614,16_17,0,0
1,2020,2,27,6614,22_23,1,0
2,2019,1,3,6614,09_10,0,0
15,2019,7,16,6614,17_18,0,1
10,2019,7,16,6614,15_16,0,1
2,2020,7,21,6614,08_09,1,0
56,2020,7,22,6614,11_12,0,1
1,2019,7,29,6614,14_15,1,0
16,2019,1,3,6614,12_13,0,0
5,2019,1,3,6614,19_20,0,0
1,2019,1,3,6614,16_17,1,0
2,2019,1,3,6614,18_19,0,0
1,2019,5,8,6614,19_20,1,1
7,2019,1,3,6614,14_15,0,0
1,2020,4,16,6614,16_17,1,1
13,2019,5,19,6614,11_12,0,1
1,2019,1,3,6614,08_09,0,0
5,2019,1,3,6614,11_12,0,0
2,2019,1,3,6614,15_16,0,0
5,2019,1,3,6614,17_18,0,0
4,2019,1,3,6614,13_14,0,0
4,2019,1,4,6614,14_15,0,1
5,2019,1,4,6614,11_12,0,0
12,2019,1,4,6614,14_15,0,0
1,2019,1,4,6614,12_13,1,0
67,2019,8,6,6614,16_17,0,0
24,2020,7,29,6614,21_22,0,0
9,2019,1,4,6614,18_19,0,0
26,2020,3,24,6614,12_13,0,1
8,2019,1,31,6614,15_16,0,1
1,2019,1,4,6614,18_19,0,1
3,2019,1,4,6614,09_10,0,0
10,2019,1,4,6614,16_17,0,0
3,2019,1,4,6614,16_17,0,1
18,2020,8,3,6614,08_09,0,1
12,2019,2,5,6614,17_18,0,0
18,2020,8,7,6614,09_10,0,1
53,2020,8,10,6614,20_21,0,0
47,2020,8,11,6614,19_20,0,1
1,2020,8,11,6614,08_09,1,1
2,2019,1,4,6614,12_13,0,0
2,2019,1,4,6614,12_13,0,1
2,2019,1,4,6614,20_21,0,0
38,2019,10,24,6614,14_15,0,0
1,2022,8,28,6614,12_13,1,0
10,2022,8,28,6614,17_18,0,0
1,2022,8,28,6614,14_15,1,0
40,2022,8,28,6614,14_15,0,1
24,2022,8,28,6614,17_18,0,1
17,2022,8,28,6614,09_10,0,1
4,2022,8,28,6614,12_13,0,0
1,2022,8,28,6614,17_18,1,0
2,2022,8,28,6614,11_12,1,1
5,2022,8,28,6614,08_09,0,1
43,2022,8,28,6614,16_17,0,1
10,2022,8,28,6614,10_11,0,0
